score,phrase
60.5,concert pianist turned bush pilot david tong killed
58.761904761904766,new blockchain technology applications could trace animal welfare
50.0,political donor chau chak wing funded bribe given
44.5,foreign farmland ownership poll finds almost nine
43.0,newcastle artist nigel milsom wins prestigious award
42.907407407407405,winning australian mobile video game takes players
41.0,south china sea amid ongoing donations row
35.0,226 million beverly hills mansion touted
34.0,federal govt funds tas heritage projects
33.83333333333333,racial discrimination act changes could lead
31.342105263157894,"fight ', chinese anzacs initially barred"
29.5,foreign real estate investment boom looks
29.40740740740741,australian council worried foreign interference laws
28.842105263157894,"misunderstanding ', says chinese business delegation"
27.437343358395992,last chinese new year twilight parade
24.833333333333332,east coast passes council hurdle
24.42857142857143,papua new guinea mountain crash
23.666666666666668,matildas coach defends young players
23.342105263157894,chinese tourists spend record amounts
23.000000000000004,liberal mp rejects corruption claims
22.75,sam dastyari backs labor policy
22.416666666666664,former nsw labor powerbroker calls
22.25,malcolm turnbull questions whether labor
22.166666666666668,scott morrison knocks back sale
22.166666666666668,liberal mp andrew hastie says
22.0,racism claims could stifle debate
21.944444444444443,fitzgibbon admits receiving undeclared gifts
21.90740740740741,australian cattle empire withdraws offer
21.875,australia leading rio olympic backlash
21.833333333333332,east coast alarm community groups
21.77777777777778,warner defends fitzgibbon spy inquiry
21.749512670565302,chinese investment says australian academic
21.0,sale '; dastyari says claim
20.749512670565302,share australian values ': chinese
20.444444444444446,defence investigating fitzgibbon spying claims
19.942105263157895,chinese artist guo jian fined
18.007407407407406,australian artist guo jian detained
17.88377192982456,chinese state media says australia
17.5,mp andrew hastie says
17.5,fortescue metals profit takes
16.666666666666668,liberal preselection battle begins
16.666666666666664,nsw amid reports opt
16.5,says premier mike baird
16.5,chau chak wing
16.095238095238095,controversial new book claims
16.0,scrap presidential term limits
16.0,sas pay dock went
16.0,rotting meat remains defiant
16.0,mining executive discusses concern
16.0,gindalbie signs exploration deal
15.666666666666666,chiko roll debate heats
15.666666666666666,bendigo family back victoria
15.5,sell electricity network cannot
15.5,population hit 25 million
15.5,howard ups media events
15.444444444444445,fitzgibbon launches defamation case
15.407407407407408,australian military personnel bond
15.407407407407408,australian artist jiawei shen
15.342105263157894,chinese folk orchestra strikes
15.008771929824562,dad defends chinese friendship
15.0,daisy kwok uncovers shanghai
15.0,cambria green development earmarked
15.0,annual national multicultural festival
14.942105263157895,chinese artist guo jian
14.833333333333332,andrew robb attend high
14.777777777777777,support fitzgibbon spy claims
14.770676691729324,chinese new year celebrations
14.749512670565302,australian chinese community petition
14.6,asian australians join year
14.333333333333334,large crowds enjoy sydney
14.074074074074074,australian developer hits back
14.008771929824562,chinese economic body chief
14.0,hong kong show cancelled
14.0,gallipoli art prize awarded
13.5,china demonstrators flood canberra
13.0,tasmanian greens leader doubles
12.907407407407408,australian retailers risk missing
12.5,foreign ownership fears
11.008771929824562,hastie claims chinese
10.508771929824562,chinese state media
10.5,foreign students feel
10.428571428571429,new exhibition explores
10.407407407407408,australian artist detained
10.407407407407408,australian artist badiucao
10.407407407407408,australian artist arrives
10.342105263157894,chinese community campaigns
10.333333333333332,east meets west
10.166666666666666,state media issues
10.0,rio olympics 2016
9.907407407407408,australian media playing
9.842105263157894,chinese social media
9.666666666666666,turnbull turns back
9.666666666666666,make bribery claims
9.666666666666666,last dancer premieres
9.6,indigenous australians share
9.6,guo jian deported
9.5,political donations
9.5,archibald prize 2015
9.444444444444445,fitzgibbon summons lawyers
9.407407407407408,australian uighur doco
9.407407407407408,australian shares lose
9.407407407407408,australian dollar struggles
9.342105263157894,patriotic online chinese
9.342105263157894,chinese students angered
9.342105263157894,chinese miners walk
9.342105263157894,chinese market slumps
9.342105263157894,chinese historical sites
9.342105263157894,chinese economy stalls
9.333333333333334,must recognise racism
9.166666666666666,nsw votes 2011
9.074074074074074,australian fake news
9.041666666666666,australia network news
9.008771929824562,chinese history back
9.0,william ah ket
9.0,welcome dinner project
9.0,usual despite ng
9.0,turnbull denies playing
9.0,security china visit
9.0,reveal liu sources
9.0,replace julia banks
9.0,playful exhibiton opens
9.0,pauline hanson controversy
9.0,opera house bathed
9.0,newest resident likely
9.0,gabbana founders apologise
9.0,fong lees lane
9.0,exhibition bridges memories
9.0,compassion moment proved
9.0,charles waterstreet portrait
9.0,beazley sees imams
9.0,artists bring wellington
9.0,anzac day 2015
9.0,accepting refugees makes
8.842105263157894,chinese dissent ahead
8.833333333333334,defence white paper
8.666666666666666,tony abbott back
8.666666666666666,tiananmen square made
8.666666666666666,nsw election action
8.666666666666666,nsw election 2015
8.666666666666666,funding arms race
8.6,10 australians opposed
8.508771929824562,chinese race riots
8.5,soft power plays
8.5,slurs hit candidate
8.5,kidman land sale
8.5,cultural centre aims
8.5,china talks dogged
8.5,china contacts friends
8.5,2013 melbourne cup
8.166666666666666,tiananmen square anniversary
8.0,xi jinping strengthened
8.0,safe schools program
8.0,foreign policy
8.0,bullying program lodged
8.0,aussie writer missing
8.0,anzac day 2018
7.875,australia take beijing
7.6,guo jian
7.342105263157895,chinese interference
7.333333333333333,spy claims
7.0,artist detained
6.833333333333334,defence admits
6.5,connor says
6.407407407407407,detained australian
6.407407407407407,australian friendship
6.407407407407407,australian developer
6.25,labor promise
6.0,terrorism fight
6.0,tasmanian greens
6.0,rollercoaster year
6.0,real winners
6.0,hong kong
6.0,heritage listing
5.942105263157895,chinese australians
5.842105263157895,chinese election
5.666666666666666,last remnants
5.666666666666666,debate notes
5.666666666666666,cash claims
5.5,russian empire
5.5,ethnic groups
5.5,china power
5.5,china ahead
5.444444444444445,joel fitzgibbon
5.444444444444445,fitzgibbon hints
5.407407407407407,australian woman
5.407407407407407,australian relations
5.407407407407407,australian icon
5.407407407407407,australian barrister
5.342105263157895,increase chinese
5.342105263157895,first chinese
5.342105263157895,chinese migrants
5.342105263157895,chinese law
5.342105263157895,chinese guards
5.342105263157895,chinese bidder
5.342105263157895,chinese agents
5.333333333333334,racism furore
5.166666666666666,tiananmen anniversary
5.166666666666666,race riots
5.166666666666666,election news
5.0,xi jinping
5.0,snake celebrations
5.0,safe schools
5.0,national interest
5.0,missing voices
5.0,leader cassy
5.0,development proposals
5.0,conquered shanghai
5.0,china pioneer
5.0,business opportunities
4.875,undermining australia
4.875,big australia
4.875,australia worries
4.666666666666666,economic sense
4.666666666666666,economic reform
4.5,white enough
4.5,turned
4.5,santos hit
4.5,melbourne electorate
4.5,level talks
4.5,friends say
4.5,cultural barriers
4.5,bribe
4.428571428571429,new
4.333333333333334,sydney begin
4.0,yellow peril
4.0,work yeah
4.0,visa problems
4.0,visa delays
4.0,untold history
4.0,united states
4.0,un president
4.0,un official
4.0,torch relay
4.0,thousands turn
4.0,sydneysiders break
4.0,sun yang
4.0,sucker punch
4.0,sinking polls
4.0,shopping heart
4.0,shared suffering
4.0,shared memory
4.0,rule indefinitely
4.0,rogue element
4.0,refugee crisis
4.0,problem gambling
4.0,prince philip
4.0,pm accused
4.0,nuclear secrets
4.0,nt outback
4.0,nationwide launch
4.0,nanjing road
4.0,mcclelland rules
4.0,mack horton
4.0,lost history
4.0,longest bridge
4.0,leadership change
4.0,lambing flats
4.0,journalists ordered
4.0,joe hockey
4.0,inside job
4.0,grand strategy
4.0,george street
4.0,gas write
4.0,focal point
4.0,five things
4.0,first settler
4.0,fare travel
4.0,expensive currently
4.0,emotional journey
4.0,dog whistling
4.0,discriminated diggers
4.0,dim sims
4.0,deadly coffees
4.0,daredevil virtuoso
4.0,clive hamilton
4.0,clearing way
4.0,chinalco stance
4.0,car belonging
4.0,campaign trail
4.0,burn victim
4.0,blurs lines
4.0,award
4.0,alp reforms
4.0,academics warn
4.0,aboriginal diggers
4.0,40 years
4.0,200 years
3.666666666666667,small government
3.666666666666667,government warned
3.5,tasmania independence
3.5,stop counterfeiting
3.5,sale
3.5,red alert
3.5,police search
3.5,lucky country
3.5,lead
3.5,kevin rudd
3.5,fortunes may
3.5,descendants reconnect
3.5,co due
3.5,carr wraps
3.5,boom
3.4444444444444446,fitzgibbon
3.4074074074074074,australian
3.3421052631578947,chinese
3.1666666666666665,nsw
3.0,young
3.0,turnbull
3.0,claim
3.0,china
3.0,business
2.875,australia
2.6,australians
2.5,risk
2.5,hit
2.5,high
2.5,canberra
2.5,art
2.3333333333333335,sydney
2.0,kidman
2.0,history
2.0,deported
2.0,bullying
2.0,beijing
2.0,aussie
2.0,abbott
2.0,2018
1.6666666666666667,government
1.5,tasmania
1.5,stop
1.5,search
1.5,rudd
1.5,red
1.5,may
1.5,descendants
1.5,country
1.5,co
1.5,carr
1.0,wwii
1.0,wwi
1.0,world
1.0,worked
1.0,war
1.0,wants
1.0,waning
1.0,vulnerable
1.0,vital
1.0,us
1.0,trusted
1.0,toronto
1.0,today
1.0,threats
1.0,threat
1.0,test
1.0,talk
1.0,superpower
1.0,story
1.0,still
1.0,spied
1.0,spat
1.0,sovereignty
1.0,snack
1.0,shifted
1.0,seriously
1.0,scapegoating
1.0,saturday
1.0,said
1.0,sacrifice
1.0,roots
1.0,rn
1.0,relationship
1.0,radicalisation
1.0,racist
1.0,push
1.0,pro
1.0,pressure
1.0,preserving
1.0,politics
1.0,pinch
1.0,party
1.0,parliament
1.0,origins
1.0,order
1.0,option
1.0,opportunistic
1.0,opened
1.0,offensive
1.0,note
1.0,north
1.0,newspapers
1.0,naive
1.0,months
1.0,monopoly
1.0,model
1.0,minister
1.0,mention
1.0,meddling
1.0,means
1.0,mate
1.0,mao
1.0,look
1.0,long
1.0,life
1.0,licensing
1.0,legacy
1.0,learned
1.0,know
1.0,knightmare
1.0,journos
1.0,jailing
1.0,information
1.0,ideas
1.0,hold
1.0,held
1.0,hate
1.0,hasty
1.0,germany
1.0,gear
1.0,gain
1.0,full
1.0,force
1.0,footsteps
1.0,florence
1.0,female
1.0,enrol
1.0,enlisting
1.0,end
1.0,duty
1.0,downs
1.0,dolce
1.0,decoder
1.0,conspired
1.0,considered
1.0,chord
1.0,chisholm
1.0,cheating
1.0,card
1.0,captured
1.0,came
1.0,call
1.0,bury
1.0,bit
1.0,become
1.0,attacks
1.0,anti
1.0,33b
